event_number,true_pid,charge,recomputed_chi2pid,sector,layer,component,sigma,dt,is_matched
9938,2212,1,18.8799,6,2,38,0.09,1.69919,1
9938,-999,1,1.91571,1,2,42,0.094,0.180077,0
9947,-999,1,42.4891,3,2,2,0.061,2.59184,0
9949,211,1,-1.28165,1,2,33,0.086,-0.110222,1
9958,2212,1,21.6952,1,2,52,0.102,2.21291,1
9958,321,1,12.2607,1,2,6,0.064,0.784683,1
9959,-999,1,111.944,2,2,44,0.095,10.6347,0
9961,211,1,99999,-1,-1,-1,-1,99999,1
9964,-999,1,83.9332,1,2,43,0.094,7.88972,0
9966,211,1,-1.00701,5,2,53,0.103,-0.103722,1
9970,2212,1,128.943,2,2,17,0.073,9.41281,1
9974,211,1,0.2695,1,2,15,0.071,0.0191345,1
9981,211,1,0.774723,2,2,38,0.09,0.069725,1
9983,2212,1,9.99802,5,2,21,0.076,0.75985,1
9983,211,1,0.0606675,4,2,29,0.083,0.0050354,1
9989,2212,1,55.9169,2,2,4,0.062,3.46685,1
9991,2212,1,99999,-1,-1,-1,-1,99999,1
9991,321,1,99999,-1,-1,-1,-1,99999,1
9995,211,1,0.766794,6,2,44,0.095,0.0728455,1
9996,211,1,-0.0390505,4,2,21,0.076,-0.00296783,1
9997,211,1,0.929186,5,2,3,0.062,0.0576096,1
9997,2212,1,35.9627,2,2,38,0.09,3.23664,1
